Element,Z,E (keV),tau (cm2/g),mu (cm2/g),Edge
H,1,1.000,6.817E+00,7.214E+00,-
H,1,1.500,1.752E+00,2.148E+00,-
H,1,2.000,6.638E-01,1.059E+00,-
H,1,3.000,1.677E-01,5.611E-01,-
H,1,4.000,6.291E-02,4.546E-01,-
H,1,5.000,2.932E-02,4.193E-01,-
H,1,6.000,1.570E-02,4.042E-01,-
H,1,8.000,5.865E-03,3.914E-01,-
H,1,10.000,2.723E-03,3.854E-01,-
H,1,15.000,6.739E-04,3.764E-01,-
H,1,20.000,2.499E-04,3.695E-01,-
H,1,30.000,6.166E-05,3.570E-01,-
H,1,40.000,2.284E-05,3.458E-01,-
H,1,50.000,1.058E-05,3.355E-01,-
He,2,1.000,6.044E+01,6.083E+01,-
He,2,1.500,1.638E+01,1.676E+01,-
He,2,2.000,6.504E+00,6.864E+00,-
He,2,3.000,1.681E+00,2.007E+00,-
He,2,4.000,6.370E-01,9.329E-01,-
He,2,5.000,3.048E-01,5.767E-01,-
He,2,6.000,1.654E-01,4.195E-01,-
He,2,8.000,6.184E-02,2.933E-01,-
He,2,10.000,2.920E-02,2.476E-01,-
He,2,15.000,7.335E-03,2.092E-01,-
He,2,20.000,2.752E-03,1.960E-01,-
He,2,30.000,6.873E-04,1.838E-01,-
He,2,40.000,2.565E-04,1.763E-01,-
He,2,50.000,1.195E-04,1.703E-01,-
Li,3,1.000,2.334E+02,2.338E+02,-
Li,3,1.500,6.629E+01,6.668E+01,-
Li,3,2.000,2.672E+01,2.707E+01,-
Li,3,3.000,7.248E+00,7.549E+00,-
Li,3,4.000,2.840E+00,3.114E+00,-
Li,3,5.000,1.363E+00,1.619E+00,-
Li,3,6.000,7.465E-01,9.876E-01,-
Li,3,8.000,2.867E-01,5.054E-01,-
Li,3,10.000,1.360E-01,3.396E-01,-
Li,3,15.000,3.478E-02,2.176E-01,-
Li,3,20.000,1.315E-02,1.856E-01,-
Li,3,30.000,3.333E-03,1.644E-01,-
Li,3,40.000,1.254E-03,1.551E-01,-
Li,3,50.000,5.874E-04,1.488E-01,-
Be,4,1.000,6.035E+02,6.042E+02,-
Be,4,1.500,1.792E+02,1.797E+02,-
Be,4,2.000,7.424E+01,7.470E+01,-
Be,4,3.000,2.090E+01,2.127E+01,-
Be,4,4.000,8.366E+00,8.685E+00,-
Be,4,5.000,4.081E+00,4.369E+00,-
Be,4,6.000,2.259E+00,2.528E+00,-
Be,4,8.000,8.821E-01,1.124E+00,-
Be,4,10.000,4.229E-01,6.466E-01,-
Be,4,15.000,1.101E-01,3.070E-01,-
Be,4,20.000,4.207E-02,2.251E-01,-
Be,4,30.000,1.077E-02,1.792E-01,-
Be,4,40.000,4.080E-03,1.640E-01,-
Be,4,50.000,1.919E-03,1.554E-01,-
B,5,1.000,1.228E+03,1.229E+03,-
B,5,1.500,3.759E+02,3.767E+02,-
B,5,2.000,1.591E+02,1.597E+02,-
B,5,3.000,4.618E+01,4.667E+01,-
B,5,4.000,1.886E+01,1.927E+01,-
B,5,5.000,9.330E+00,9.681E+00,-
B,5,6.000,5.222E+00,5.539E+00,-
B,5,8.000,2.071E+00,2.346E+00,-
B,5,10.000,1.003E+00,1.255E+00,-
B,5,15.000,2.655E-01,4.827E-01,-
B,5,20.000,1.025E-01,3.014E-01,-
B,5,30.000,2.656E-02,2.064E-01,-
B,5,40.000,1.014E-02,1.794E-01,-
B,5,50.000,4.794E-03,1.665E-01,-
C,6,1.000,2.210E+03,2.211E+03,-
C,6,1.500,6.994E+02,7.004E+02,-
C,6,2.000,3.017E+02,3.026E+02,-
C,6,3.000,8.965E+01,9.032E+01,-
C,6,4.000,3.724E+01,3.778E+01,-
C,6,5.000,1.866E+01,1.912E+01,-
C,6,6.000,1.054E+01,1.095E+01,-
C,6,8.000,4.241E+00,4.576E+00,-
C,6,10.000,2.076E+00,2.373E+00,-
C,6,15.000,5.585E-01,8.074E-01,-
C,6,20.000,2.177E-01,4.420E-01,-
C,6,30.000,5.706E-02,2.562E-01,-
C,6,40.000,2.193E-02,2.076E-01,-
C,6,50.000,1.042E-02,1.871E-01,-
N,7,1.000,3.310E+03,3.311E+03,-
N,7,1.500,1.081E+03,1.083E+03,-
N,7,2.000,4.759E+02,4.770E+02,-
N,7,3.000,1.448E+02,1.456E+02,-
N,7,4.000,6.097E+01,6.166E+01,-
N,7,5.000,3.087E+01,3.144E+01,-
N,7,6.000,1.759E+01,1.808E+01,-
N,7,8.000,7.167E+00,7.559E+00,-
N,7,10.000,3.543E+00,3.879E+00,-
N,7,15.000,9.674E-01,1.236E+00,-
N,7,20.000,3.808E-01,6.179E-01,-
N,7,30.000,1.010E-01,3.066E-01,-
N,7,40.000,3.907E-02,2.288E-01,-
N,7,50.000,1.866E-02,1.980E-01,-
O,8,1.000,4.588E+03,4.590E+03,-
O,8,1.500,1.547E+03,1.549E+03,-
O,8,2.000,6.937E+02,6.950E+02,-
O,8,3.000,2.160E+02,2.171E+02,-
O,8,4.000,9.229E+01,9.315E+01,-
O,8,5.000,4.720E+01,4.791E+01,-
O,8,6.000,2.710E+01,2.770E+01,-
O,8,8.000,1.117E+01,1.163E+01,-
O,8,10.000,5.567E+00,5.953E+00,-
O,8,15.000,1.542E+00,1.836E+00,-
O,8,20.000,6.124E-01,8.653E-01,-
O,8,30.000,1.641E-01,3.779E-01,-
O,8,40.000,6.395E-02,2.585E-01,-
O,8,50.000,3.068E-02,2.133E-01,-
F,9,1.000,5.649E+03,5.650E+03,-
F,9,1.500,1.977E+03,1.979E+03,-
F,9,2.000,9.034E+02,9.048E+02,-
F,9,3.000,2.876E+02,2.888E+02,-
F,9,4.000,1.246E+02,1.256E+02,-
F,9,5.000,6.432E+01,6.513E+01,-
F,9,6.000,3.721E+01,3.790E+01,-
F,9,8.000,1.549E+01,1.601E+01,-
F,9,10.000,7.782E+00,8.206E+00,-
F,9,15.000,2.184E+00,2.492E+00,-
F,9,20.000,8.749E-01,1.133E+00,-
F,9,30.000,2.370E-01,4.488E-01,-
F,9,40.000,9.297E-02,2.828E-01,-
F,9,50.000,4.482E-02,2.214E-01,-
Ne,10,1.000,7.407E+03,7.409E+03,-
Ne,10,1.500,2.664E+03,2.666E+03,-
Ne,10,2.000,1.241E+03,1.243E+03,-
Ne,10,3.000,4.038E+02,4.052E+02,-
Ne,10,4.000,1.772E+02,1.784E+02,-
Ne,10,5.000,9.236E+01,9.338E+01,-
Ne,10,6.000,5.384E+01,5.469E+01,-
Ne,10,8.000,2.264E+01,2.328E+01,-
Ne,10,10.000,1.145E+01,1.197E+01,-
Ne,10,15.000,3.253E+00,3.613E+00,-
Ne,10,20.000,1.313E+00,1.606E+00,-
Ne,10,30.000,3.593E-01,5.922E-01,-
Ne,10,40.000,1.418E-01,3.472E-01,-
Ne,10,50.000,6.867E-02,2.579E-01,-
Na,11,1.000,6.523E+02,6.542E+02,-
Na,11,1.035,5.939E+02,5.958E+02,-
Na,11,1.072,5.412E+02,5.431E+02,K
Na,11,1.072,6.433E+03,6.435E+03,K
Na,11,1.500,3.193E+03,3.195E+03,-
Na,11,2.000,1.519E+03,1.521E+03,-
Na,11,3.000,5.056E+02,5.070E+02,-
Na,11,4.000,2.249E+02,2.261E+02,-
Na,11,5.000,1.183E+02,1.194E+02,-
Na,11,6.000,6.939E+01,7.030E+01,-
Na,11,8.000,2.950E+01,3.018E+01,-
Na,11,10.000,1.502E+01,1.557E+01,-
Na,11,15.000,4.317E+00,4.694E+00,-
Na,11,20.000,1.756E+00,2.057E+00,-
Na,11,30.000,4.854E-01,7.198E-01,-
Na,11,40.000,1.927E-01,3.969E-01,-
Na,11,50.000,9.370E-02,2.804E-01,-
Mg,12,1.000,9.202E+02,9.224E+02,-
Mg,12,1.142,6.442E+02,6.463E+02,-
Mg,12,1.305,4.509E+02,4.530E+02,K
Mg,12,1.305,5.441E+03,5.443E+03,K
Mg,12,1.500,4.002E+03,4.004E+03,-
Mg,12,2.000,1.930E+03,1.932E+03,-
Mg,12,3.000,6.568E+02,6.584E+02,-
Mg,12,4.000,2.961E+02,2.974E+02,-
Mg,12,5.000,1.571E+02,1.583E+02,-
Mg,12,6.000,9.279E+01,9.380E+01,-
Mg,12,8.000,3.982E+01,4.059E+01,-
Mg,12,10.000,2.043E+01,2.106E+01,-
Mg,12,15.000,5.937E+00,6.357E+00,-
Mg,12,20.000,2.433E+00,2.763E+00,-
Mg,12,30.000,6.784E-01,9.304E-01,-
Mg,12,40.000,2.711E-01,4.880E-01,-
Mg,12,50.000,1.324E-01,3.292E-01,-
Al,13,1.000,1.183E+03,1.185E+03,-
Al,13,1.500,4.002E+02,4.023E+02,-
Al,13,1.560,3.600E+02,3.621E+02,K
Al,13,1.560,3.955E+03,3.957E+03,K
Al,13,2.000,2.261E+03,2.263E+03,-
Al,13,3.000,7.865E+02,7.881E+02,-
Al,13,4.000,3.591E+02,3.605E+02,-
