keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.00,7.214000,60.830000,233.800000,604.200000,1229.000000,2211.000000,3311.000000,4590.000000,5650.000000,7409.000000,654.200000,922.400000,1185.000000,1570.000000,1913.000000,2429.000000,2831.000000,3184.000000,4057.000000,4866.000000,5237.000000,5869.000000,6495.000000,7405.000000,8093.000000,9085.000000,9795.000000,9856.000000,10570.000000,1553.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3174.000000,3493.000000,3864.000000,4210.000000,0.000000,0.000000,0.000000,0.000000,6170.000000,6538.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8542.000000
1.02,6.799543,57.118322,219.904681,569.456242,1160.032510,2090.287816,3135.133030,4352.834960,5367.810042,7048.226656,619.917682,874.741609,1124.098850,1489.665704,1815.397990,2305.450800,2687.684254,3023.611550,3853.971220,4624.104619,4978.421630,5581.160433,6179.363290,7048.202768,7707.966950,8659.206091,9339.682522,10682.294558,10017.729297,1484.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3029.068935,3334.167199,3688.651282,4019.469179,0.000000,0.000000,0.000000,0.000000,5895.029621,6247.613542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8176.439297
1.04,6.416266,53.698731,207.081438,537.327973,1096.163894,1978.321702,2971.755342,4132.179063,5104.790470,6711.523587,588.277185,830.400637,1067.420684,1414.884350,1724.528486,2190.405172,2554.199069,2874.185706,3664.754583,4398.587288,4737.266429,5312.623032,5884.755638,6715.033494,7348.204521,8261.065004,8913.765755,10195.962172,9504.213045,6018.256095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2893.380487,3185.434205,3524.436968,3841.013963,0.000000,0.000000,0.000000,0.000000,5637.301900,5975.393975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7829.715467
1.06,6.061288,50.543269,195.229264,507.573536,1036.929723,1874.317594,2819.764769,3926.597947,4859.306944,6396.867176,559.461496,789.088864,1014.599700,1345.176115,1639.810680,2083.130777,2429.700054,2734.783435,3488.171268,4188.055340,4512.058396,5061.758655,5609.411032,6403.517144,7011.614868,7888.299637,8514.839307,9740.412725,9026.055718,8130.141577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2766.184088,3045.982659,3370.455830,3673.658352,0.000000,0.000000,0.000000,0.000000,5395.434467,5719.887414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7499.875711
1.08,5.732044,47.627114,184.258328,479.977586,981.915549,1777.574707,2678.174708,3734.805743,4629.891730,6102.437763,6336.051900,750.547906,965.307874,1280.110627,1560.723546,1982.970544,2313.429422,2604.561800,3323.162728,3991.257778,4301.471217,4827.102884,5351.741299,6111.876819,6696.309428,7538.858570,8140.730829,9313.170827,8580.226002,8006.077651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2646.802731,2915.074259,3225.894729,3516.521631,0.000000,0.000000,0.000000,0.000000,5168.179037,5479.780794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8251.156446
1.10,5.426243,44.928176,174.088561,454.347807,930.750724,1687.465356,2546.100157,3555.647315,4415.224030,5826.595802,6098.315213,714.545651,919.250448,1219.301076,1486.798725,1889.333732,2204.705714,2482.762575,3168.776485,3807.068582,4104.310675,4607.336716,5110.315326,5838.510682,6400.584669,7210.890059,7789.478664,8912.000996,9264.077094,7886.131823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2534.624567,2792.041631,3090.018581,3368.807526,0.000000,0.000000,0.000000,0.000000,4954.406226,5253.885948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7939.794040
1.12,5.141833,42.426757,164.648447,430.512092,883.103088,1603.426187,2422.745646,3388.082910,4214.112950,5567.861176,5873.544810,680.873170,876.162036,1162.399114,1417.614368,1801.688181,2102.914906,2368.702397,3024.153821,3634.472242,3919.499404,4401.269816,4883.841039,5581.971932,6122.901016,6902.719415,7459.308055,8534.880586,8874.014208,7770.168843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2429.095593,2676.280390,2962.161616,3229.794762,0.000000,0.000000,0.000000,0.000000,4753.092333,5041.125727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7644.464308
1.14,4.876975,40.105251,155.873973,408.316103,838.674376,1524.950583,2307.394795,3231.174832,4025.482695,5324.895204,5660.820506,649.342039,835.803236,1109.090437,1352.789796,1719.553593,2007.502682,2261.764207,2888.519090,3472.551189,3746.063627,4207.825961,4671.149720,5340.951374,5861.864507,6612.829306,7148.610410,8179.976190,8506.849549,7658.202654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2329.713278,2567.242199,2841.719754,3098.828822,0.000000,0.000000,0.000000,0.000000,4563.307784,4840.521886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7792.603960
1.16,4.630017,37.947894,147.707732,387.621170,797.196243,1451.582085,2199.401237,3084.075864,3848.359679,5096.484950,5459.302020,619.931707,797.957688,1059.090928,1291.980848,1642.495680,1917.967714,2161.389796,2761.170402,3320.474849,3583.121606,4026.030342,4471.182334,5114.262213,5616.210778,6339.842545,6855.925180,7845.623008,8160.871784,7549.755491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2236.020985,2464.428711,2728.143939,2975.314732,0.000000,0.000000,0.000000,0.000000,4384.207023,4651.184470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7512.148848
1.18,4.399470,35.940543,140.098139,368.302464,758.426816,1382.908677,2098.180722,2946.019174,3681.861269,4881.529505,5268.220809,592.338343,762.429513,1012.143310,1234.875828,1570.121065,1833.855795,2067.073306,2641.471496,3177.490071,3429.873551,3854.998471,4282.977572,4900.826754,5384.791047,6082.507012,6579.923983,7530.306787,7834.523998,7444.658895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2147.603081,2367.386247,2620.934286,2858.710742,0.000000,0.000000,0.000000,0.000000,4215.019639,4472.302500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7246.326318
