keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.00,6.817000,60.440000,233.400000,603.500000,1228.000000,2210.000000,3310.000000,4588.000000,5649.000000,7407.000000,652.300000,920.200000,1183.000000,1567.000000,1910.000000,2426.000000,2828.000000,3181.000000,4054.000000,4862.000000,5234.000000,5865.000000,6491.000000,7401.000000,8089.000000,9081.000000,9790.000000,9850.000000,10570.000000,1548.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3168.000000,3487.000000,3858.000000,4203.000000,0.000000,0.000000,0.000000,0.000000,6162.000000,6530.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8534.000000
1.02,6.379332,56.706398,219.483924,568.751297,1159.014360,2089.242782,3133.949452,4350.756372,5366.641359,7046.158691,618.015656,872.542498,1122.007390,1486.645607,1812.364888,2302.377765,2684.585449,3020.500669,3850.862148,4620.093504,4975.316114,5577.152170,6175.227920,7044.070194,7703.838393,8655.082114,9334.654058,10681.993959,10015.414991,1479.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3022.893755,3327.993820,3682.478795,4012.389835,0.000000,0.000000,0.000000,0.000000,5886.928367,6239.395208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8167.770949
1.04,5.977461,53.269353,206.644107,536.620984,1095.132990,1977.240187,2970.413456,4130.036498,5103.475181,6709.400019,586.376196,828.208029,1065.253838,1411.854197,1721.473812,2187.275302,2551.020589,2870.984368,3661.556480,4394.575961,4734.074689,5308.616809,5880.509504,6710.792370,7343.970597,8256.839295,8908.722455,10195.204506,9499.864830,6013.210189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2887.061286,3179.118243,3518.122607,3833.877760,0.000000,0.000000,0.000000,0.000000,5629.125597,5966.995770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7820.711243
1.06,5.607853,50.100267,194.778952,506.866952,1035.890679,1873.207012,2818.286768,3924.404129,4857.864544,6394.698819,557.559735,786.907500,1012.371492,1342.144495,1636.744349,2079.958126,2426.458561,2731.509461,3484.901629,4184.053109,4508.797289,5057.763270,5605.075665,6399.188503,7007.295899,7883.991712,8509.792941,9739.247777,9021.047999,8124.389196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2759.748256,3039.551188,3364.026515,3666.484880,0.000000,0.000000,0.000000,0.000000,5387.206007,5711.343214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7490.874532
1.08,5.267379,47.173770,183.798122,479.273466,980.872304,1776.441484,2676.580108,3732.571754,4628.339450,6100.234082,6334.038449,748.381779,963.030544,1277.084878,1557.654075,1979.767307,2310.139433,2601.230742,3319.836831,3987.272574,4298.155481,4823.125834,5347.335543,6107.479084,6691.923234,7534.485561,8135.691553,9311.643096,8575.217739,8000.604713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2640.274353,2908.551095,3219.374145,3509.327953,0.000000,0.000000,0.000000,0.000000,5159.918415,5471.120449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8242.150642
1.10,4.953267,44.467302,173.621117,453.647882,929.706639,1686.315065,2544.406132,3553.382811,4413.577118,5824.365083,6096.272311,712.398107,916.934684,1216.287455,1483.733421,1886.110486,2201.379876,2479.388012,3165.407675,3803.107141,4100.953198,4603.384372,5105.855681,5834.059994,6396.146875,7206.467005,7784.455227,8910.150305,9259.056199,7880.926211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2528.024827,2785.447729,3083.427568,3361.608496,0.000000,0.000000,0.000000,0.000000,4946.130901,5245.135766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7930.822112
1.12,4.663049,41.960760,164.176043,429.817807,882.061025,1602.263660,2420.967322,3385.796301,4212.384908,5565.610673,5871.477900,678.747001,873.817172,1159.402943,1414.559490,1798.454096,2099.564235,2365.296182,3020.753754,3630.540270,3916.111453,4397.347575,4879.341951,5577.482433,6118.425326,6898.259523,7454.307980,8532.742617,8868.900590,7765.168452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2422.443128,2669.634191,2955.518518,3222.603299,0.000000,0.000000,0.000000,0.000000,4744.817538,5032.308902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7636.033399
1.14,4.394530,39.636190,155.398566,407.628661,837.636765,1523.780004,2305.545505,3228.873442,4023.685493,5322.631266,5658.734442,647.239559,833.437420,1106.116226,1349.750692,1716.316610,2004.136772,2258.336685,2885.097944,3468.653501,3742.655054,4203.938373,4666.623835,5336.435452,5857.362939,6608.344171,7143.640151,8177.582949,8501.661133,7653.200986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2323.024482,2560.559932,2835.040718,3091.656147,0.000000,0.000000,0.000000,0.000000,4555.046799,4831.658864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7784.600968
1.16,4.145748,37.477528,147.230997,386.941564,796.165144,1450.407081,2197.492738,3081.766069,3846.503933,5094.213131,5457.201131,617.816574,795.578033,1056.142485,1288.962073,1639.262671,1914.594913,2157.949990,2757.737061,3316.615482,3579.701021,4022.181224,4466.640718,5109.730717,5611.693868,6335.342344,6850.990256,7843.003240,8155.624444,7544.753617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2229.310278,2457.724652,2721.443170,2968.170581,0.000000,0.000000,0.000000,0.000000,4375.971411,4642.293275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7504.132958
1.18,3.914947,35.470372,139.621512,367.631509,757.403967,1381.732381,2096.223388,2943.706518,3679.956398,4879.254661,5266.108955,590.212084,760.042224,1009.223833,1231.881251,1566.897962,1830.483361,2063.629083,2638.033711,3173.672392,3426.448472,3851.191005,4278.429903,4896.289178,5380.268025,6078.000673,6575.029096,7527.486326,7829.231789,7439.657801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2140.883138,2360.672951,2614.224280,2851.603542,0.000000,0.000000,0.000000,0.000000,4206.819449,4463.399010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7238.308774
